id,name,polarity,subjectivity
1255488850933268483,other,0.7,0.9
1255488849503031296,other,1.0,1.0
1255488845610651648,other,0.8,1.0
1255488842615971841,other,0.5,0.6
1255488837834485760,other,0.8,1.0
1255488834411921408,other,0.6,0.95
1255488831786299395,other,0.6,0.7
1255488829827485697,other,0.6,0.7
1255488818830102529,other,0.5,0.5
1255488812895088640,other,0.5,0.7
1255488811548717058,other,0.9,0.9
1255488810290491392,other,0.5,0.6
1255488809942298624,other,0.433333333333333,0.733333333333333
1255488808495263748,other,0.8,1.0
1255488807400603648,other,0.575,0.65
1255488802682023947,other,0.5,0.6
1255488802250018824,other,0.5,0.5
1255488798114418688,other,0.571428571428571,0.792857142857143
1255488797808222209,other,0.5,0.5
1255488796956786689,other,0.7,0.9
1255488796877078528,other,1.0,1.0
1255488793345433604,other,0.583333333333333,0.75
1255488789578952706,other,0.8,0.75
1255488783446953989,other,0.8,0.75
1255488782817734658,other,0.65,0.625
1255488779877601280,other,0.45,0.575
1255488772084576261,other,0.5,0.5
1255488771862257666,other,0.5,0.6
1255488769953804291,other,0.5,0.6
1255488758964682754,other,0.5,0.6
1255488758880899075,other,1.0,1.0
1255488757672873984,other,0.8,1.0
1255488755605045248,other,0.5,0.5
1255488743663906818,other,0.6,0.616666666666667
1255488742510518272,other,0.5,0.6
1255488740887351301,other,1.0,1.0
1255488740220256256,other,0.7,0.9
1255488739893227522,other,1.0,0.3
1255488737859055620,other,0.6,0.9
1255488737850646528,other,0.625,0.5
1255488737305407489,other,0.75,0.9
1255488733685694465,other,0.5,0.6
1255488719915794440,other,0.5,0.6
1255488719500513280,other,0.571428571428571,0.792857142857143
1255488719131377668,other,0.5,0.5
1255488715427848199,other,0.766666666666667,0.75
1255488714765225985,other,0.5,0.5
1255488714622500865,other,0.5,0.5
1255488713737543682,other,1.0,0.3
1255488711208439816,other,0.5,0.5
1255488710046515205,other,0.75,0.9
1255488696264114177,other,0.6,0.95
1255488696050163719,other,1.0,1.0
1255488693445541889,other,1.0,1.0
1255488692887654401,other,0.583333333333333,0.75
1255488689683210241,other,0.9,0.875
1255488688638832643,other,0.5375,0.9
1255488688177414145,other,0.6,0.95
1255488686029975554,other,0.4,0.8
1255488682460696577,other,0.583333333333333,0.75
1255488682427125770,other,0.5,0.75
1255488681324003331,other,0.571428571428571,0.792857142857143
1255488681273679873,other,0.5,1.0
1255488680707469314,other,0.6,0.9
1255488677872119812,other,0.5,0.5
1255488675259068416,other,0.625,0.5
1255488668292300802,other,0.6,0.95
1255488666203566083,other,0.5,0.5
1255488663561084931,other,0.583333333333333,0.75
1255488661464010755,other,0.8,0.75
1255488655797469185,other,1.0,1.0
1255488655130492929,other,0.466666666666667,0.7
1255488648339996673,other,0.8,1.0
1255488647077511171,other,0.571428571428571,0.792857142857143
1255488646691651586,other,0.5,0.6
1255488638365970441,other,0.583333333333333,0.75
1255488637254459393,other,0.5,0.6
1255488635954245635,other,0.85,0.875
1255488635706773504,other,1.0,0.3
1255488633269870599,other,0.4,0.8
1255488632384880643,other,0.5,0.5
1255488628148633600,other,0.5,0.708333333333333
1255488624952573955,other,0.85,0.875
1255488619059523586,other,0.6875,0.875
1255488615347621889,other,1.0,1.0
1255488614580006917,other,1.0,0.3
1255488614517149698,other,0.5,0.5
1255488613070012419,other,0.75,0.7
1255488612063498242,other,0.75,0.8
1255488611828600833,other,0.571428571428571,0.792857142857143
1255488610121461762,other,0.7,0.8
1255488607256707072,other,0.5,0.5
1255488606883532802,other,0.5,0.5
1255488602433294336,other,0.8,0.75
1255488593663086596,other,0.5875,0.4625
1255488587312828416,other,0.6,0.95
1255488584125161473,other,1.0,1.0
1255488583391236096,other,0.8,0.75
1255488582216814598,other,0.7,0.9
1255488581524742145,other,0.571428571428571,0.792857142857143
1255488579658305543,other,0.416666666666667,0.861111111111111
1255488576827076608,other,0.8,0.75
1255488576772608002,other,0.5,0.7
1255488568186847236,other,0.5,0.5
1255488560851038208,other,0.5,0.5
1255488560309944320,other,0.7,0.9
1255488560305713153,other,0.85,0.875
1255488558808346634,other,0.583333333333333,0.75
1255488557633937411,other,0.4,0.645
1255488555125805058,other,0.85,1.0
1255488553414537219,other,0.571428571428571,0.792857142857143
1255488551526989824,other,0.571428571428571,0.792857142857143
1255488545235615750,other,0.85,0.875
1255488539657211906,other,0.5,0.5
1255488539283816449,other,0.5,0.7
1255488537635536901,other,0.8,1.0
1255488535022493699,other,0.571428571428571,0.792857142857143
1255488534875705345,other,0.583333333333333,0.75
1255488534645006336,other,0.85,0.875
1255488533499953154,other,1.0,0.3
1255488533361459207,other,0.583333333333333,0.75
1255488532413628421,other,0.45,0.75
1255488529657929730,other,0.9,0.9
1255488529049825281,other,0.8,1.0
1255488527837663232,other,0.571428571428571,0.792857142857143
1255488527552348162,other,0.5,0.5
1255488525606293504,other,0.5,0.7
1255488523702095878,other,0.45,0.75
1255488523647541256,other,0.5,0.75
1255488520006914052,other,0.416666666666667,0.861111111111111
1255488519377690624,other,0.5,0.5
1255488516794040320,other,0.6,0.9
1255488513480556545,other,0.475,0.775
1255488510150283265,other,0.583333333333333,0.75
1255488509223329792,other,1.0,1.0
1255488506929000451,other,0.5,1.0
1255488502504067083,other,0.5,0.5
1255488500679524354,other,0.6,0.9
1255488497458327555,other,0.5,0.7
1255488496288116742,other,0.433333333333333,0.733333333333333
1255488494064947200,other,0.5,0.7
1255488492039266313,other,0.5,0.5
1255488491619786754,other,0.416666666666667,0.861111111111111
1255488490910990336,other,0.4,0.645
1255488488700620806,other,0.8,1.0
1255488488117374976,other,0.6,0.95
1255488479863209988,other,0.5,0.6
1255488476876808192,other,0.458333333333333,0.620833333333333
1255488474217619462,other,0.493181818181818,0.75
1255488474007908355,other,0.5,0.5
1255488473160613892,other,1.0,1.0
1255488471583674368,other,0.5,0.6
1255488470568574976,other,0.8,0.75
1255488466504343553,other,1.0,1.0
1255488461945163779,other,0.4375,0.625
1255488458535174145,other,0.5,0.7
1255488457138470914,other,0.5,0.5
1255488455087357960,other,0.416666666666667,0.861111111111111
1255488453724209154,other,0.9,1.0
1255488453292314624,other,0.416666666666667,0.861111111111111
1255488453250289665,other,0.466666666666667,0.7
1255488452650467329,other,0.416666666666667,0.861111111111111
1255488448586268672,other,0.55,0.65
1255488448418459649,other,0.8,0.75
1255488446401036293,other,0.6,0.95
1255488441653104645,other,0.8,0.75
1255488437840478208,other,0.7,0.9
1255488437542584320,other,0.55,0.75
1255488437530091520,other,0.7,0.6
1255488432224309249,other,1.0,1.0
1255488429753880576,other,0.7,0.8
1255488427082088448,other,0.6,0.95
1255488426016735239,other,0.5,0.5
1255488421910515712,other,0.458333333333333,0.833333333333333
1255488420861927427,other,0.9,0.9
1255488418198536192,other,0.533333333333333,0.4
1255488417074470920,other,1.0,0.3
1255488416583766020,other,0.6,0.9
1255488415824576514,other,0.583333333333333,0.75
1255488412997627910,other,0.85,0.875
1255488410502017026,other,1.0,0.3
1255488408501268480,other,1.0,1.0
1255488404764016640,other,0.5,0.5
1255488402155343879,other,0.6,0.9
1255488400704053254,other,0.75,1.0
1255488399777173506,other,0.5,0.6
1255488395754835978,other,0.7,0.8
1255488395230564352,other,0.5,0.5
1255488392411918336,other,0.5,0.6
1255488387437469700,other,0.416666666666667,0.861111111111111
1255488387051671552,other,0.8,0.75
1255488386913177601,other,0.7,0.9
1255488386632167425,other,0.5,0.5
1255488386577707009,other,0.5,1.0
1255488381720637443,other,0.5,0.708333333333333
1255488379434786816,other,0.5,0.5
1255488375068536835,other,1.0,0.3
1255488374359691265,other,1.0,0.3
1255488367837564932,other,1.0,1.0
1255488367552323584,other,1.0,0.3
1255488365828485120,other,0.5,0.5
1255488356928151553,other,1.0,0.3
1255488354810040325,other,0.475,0.775
1255488354566778883,other,0.5,0.5
1255488351899201543,other,0.5,0.5
1255488349504184321,other,0.468181818181818,0.602272727272727
1255488344592695297,other,0.571428571428571,0.792857142857143
1255488343044915200,other,0.5,0.5
1255488340356403210,other,1.0,0.75
1255488340280971264,other,0.5,0.5
1255488330579378176,other,1.0,0.975
1255488328478187520,other,0.5,0.5
1255488327265837056,other,0.571428571428571,0.792857142857143
1255488322023165958,other,0.85,0.875
1255488317149319169,other,0.46,0.6
1255488316721508354,other,0.6,0.95
1255488314896941058,other,0.583333333333333,0.766666666666667
1255488314397917184,other,0.9,0.9
1255488314259451905,other,0.625,0.5
1255488312707555329,other,0.6,0.95
1255488311415713793,other,0.6,0.7
1255488310547558404,other,0.493181818181818,0.75
1255488308748210178,other,0.5,0.6
1255488307536039937,other,0.533333333333333,0.611111111111111
1255488305438904321,other,0.8,0.75
1255488301089292288,other,1.0,1.0
1255488294621777921,other,0.5,0.5
1255488287436869642,other,0.5,0.5
1255488284043751424,other,0.7,0.9
1255488280243683328,other,1.0,0.3
1255488278771445761,other,0.7,0.8
1255488272492568576,other,0.5,0.5
1255488266222125063,other,0.6,0.95
1255488264112308226,other,0.583333333333333,0.75
1255488261964824581,other,0.8,1.0
1255488256516534272,other,0.5,0.6
1255488255388155908,other,0.5,0.5
1255488253685358595,other,0.9,0.9
1255488250506084354,other,0.5,0.5
1255488248392167426,other,0.458333333333333,0.620833333333333
1255488247872045062,other,0.6,0.95
1255488246999650306,other,0.5,0.7
1255488245447528448,other,0.5,0.7
1255488244197793793,other,1.0,1.0
1255488242234855424,other,0.75,0.9
1255488238543912962,other,0.625,0.5
1255488236216074244,other,1.0,0.3
1255488230285357059,other,0.458333333333333,0.620833333333333
1255488227248570369,other,0.433333333333333,0.833333333333333
1255488226669854725,other,1.0,0.3
