id,name,polarity,subjectivity
1255488819329142784,Salman Khan,0.0,0.0
1255488787699961866,Shah Rukh Khan,0.3,0.9
1255488787091795968,Salman Khan,0.0,0.1
1255488703130152960,Shah Rukh Khan,1.0,1.0
1255488608355725313,Salman Khan,0.0,0.0
1255488555591352322,Salman Khan,0.065,0.51
1255488554991587336,Salman Khan,-0.25,0.5
1255488461089517573,Salman Khan,-0.05,0.2
1255488413207322624,Aamir Khan,0.2,0.2
1255488339203014657,Salman Khan,0.0,0.0
1255488289823481858,Salman Khan,0.0,0.0
1255488279056715777,Salman Khan,0.05,0.7
1255488258299101187,Salman Khan,0.0,0.0
1255488219510124544,Salman Khan,0.0,0.1
1255488150702612480,Aamir Khan,0.0,0.0
1255488007546830848,Shah Rukh Khan,0.433333333333333,0.833333333333333
1255487999330127873,Aamir Khan,0.0,0.0
1255487946276384773,Shah Rukh Khan,-0.3,0.6
1255487928756834305,Aamir Khan,0.266666666666667,0.316666666666667
1255487765086720007,Shah Rukh Khan,1.0,1.0
1255487737475596289,Salman Khan,0.0,0.0
1255487725786013700,Salman Khan,0.0,0.0
1255487689824108549,Salman Khan,0.0,0.1
1255487680500154369,Shah Rukh Khan,1.0,1.0
1255487672803643392,Salman Khan,0.05,0.775
1255487672136675328,Salman Khan,1.0,1.0
1255487658903691266,Shah Rukh Khan,0.0,0.0
1255487593950728194,Shah Rukh Khan,0.0,0.0
1255487586807828480,Shah Rukh Khan,0.125,0.5
1255487555518312453,Shah Rukh Khan,0.0,0.0
1255487553345671169,Aamir Khan,0.0,1.0
1255487523259850754,Salman Khan,0.0,0.0
1255487507594084356,Shah Rukh Khan,-0.6,0.9
1255487459288285184,Shah Rukh Khan,0.366666666666667,0.8
1255487417466916864,Shah Rukh Khan,0.2,0.2
1255487354963361792,Salman Khan,1.0,1.0
1255487325053882368,Shah Rukh Khan,0.0,0.0
1255487284557815809,Shah Rukh Khan,0.0,0.0
1255487276177674240,Salman Khan,0.0,0.1
1255487214294876161,Shah Rukh Khan,0.0,0.0
1255487131310526467,Salman Khan,0.0,0.0
1255487118337544193,Salman Khan,0.0,0.1
1255487095184990219,Aamir Khan,0.05,0.1
1255498473492840449,Shah Rukh Khan,0.242424242424242,0.381818181818182
1255498403900993541,Salman Khan,0.0,0.1
1255498384833687552,Salman Khan,0.0,0.0
1255498333407363073,Aamir Khan,0.3,0.45
1255498329951272961,Salman Khan,0.0,0.0
1255498233444544513,Shah Rukh Khan,0.0,0.0
1255498231414431745,Shah Rukh Khan,0.0,0.0
1255498206282231809,Aamir Khan,0.0,0.0
1255498159628967936,Salman Khan,0.0,0.0
1255498147150942210,Aamir Khan,0.8,0.2
1255498134647685121,Aamir Khan,0.3,0.45
1255502966691450882,Aamir Khan,0.0,0.0
1255502962916495360,Shah Rukh Khan,0.125,0.5
1255502947120791555,Salman Khan,0.0,0.1
1255502925490683907,Shah Rukh Khan,0.0,0.0
1255502856163135490,Aamir Khan,0.0,0.0
1255502805189754889,Shah Rukh Khan,0.433333333333333,0.833333333333333
